area,population
"Custer County, Montana","11,867"
"Daniels County, Montana","1,661"
"Dawson County, Montana","8,940"
"Deer Lodge County, Montana","9,421"
"Fallon County, Montana","3,049"
"Fergus County, Montana","11,446"
"Flathead County, Montana","104,357"
"Gallatin County, Montana","118,960"
"Garfield County, Montana","1,173"
"Glacier County, Montana","13,778"
"Golden Valley County, Montana",823
"Granite County, Montana","3,309"
"Hill County, Montana","16,309"
"Jefferson County, Montana","12,085"
"Judith Basin County, Montana","2,023"
"Lake County, Montana","31,134"
"Lewis and Clark County, Montana","70,973"
"Liberty County, Montana","1,959"
"Lincoln County, Montana","19,677"
"McCone County, Montana","1,729"
"Madison County, Montana","8,623"
"Meagher County, Montana","1,927"
"Mineral County, Montana","4,535"
"Missoula County, Montana","117,922"
"Musselshell County, Montana","4,730"
"Park County, Montana","17,191"
"Petroleum County, Montana",496
"Phillips County, Montana","4,217"
"Pondera County, Montana","5,898"
"Powder River County, Montana","1,694"
"Powell County, Montana","6,946"
"Prairie County, Montana","1,088"
"Ravalli County, Montana","44,174"
"Richland County, Montana","11,491"
"Roosevelt County, Montana","10,794"
"Rosebud County, Montana","8,329"
"Sanders County, Montana","12,400"
"Sheridan County, Montana","3,539"
"Silver Bow County, Montana","35,133"
"Stillwater County, Montana","8,963"
"Sweet Grass County, Montana","3,678"
"Teton County, Montana","6,226"
"Toole County, Montana","4,971"
"Treasure County, Montana",762
"Valley County, Montana","7,578"
"Wheatland County, Montana","2,069"
"Wibaux County, Montana",937
"Yellowstone County, Montana","164,731"
"Adams County, Nebraska","31,205"
"Antelope County, Nebraska","6,295"
"Arthur County, Nebraska",434
"Banner County, Nebraska",674
"Blaine County, Nebraska",431
"Boone County, Nebraska","5,379"
"Box Butte County, Nebraska","10,842"
"Boyd County, Nebraska","1,810"
"Brown County, Nebraska","2,903"
"Buffalo County, Nebraska","50,084"
"Burt County, Nebraska","6,722"
"Butler County, Nebraska","8,369"
"Cass County, Nebraska","26,598"
"Cedar County, Nebraska","8,380"
"Chase County, Nebraska","3,893"
"Cherry County, Nebraska","5,455"
"Cheyenne County, Nebraska","9,468"
"Clay County, Nebraska","6,104"
"Colfax County, Nebraska","10,582"
"Cuming County, Nebraska","9,013"
"Custer County, Nebraska","10,545"
"Dakota County, Nebraska","21,582"
"Dawes County, Nebraska","8,199"
"Dawson County, Nebraska","24,111"
"Deuel County, Nebraska","1,838"
"Dixon County, Nebraska","5,606"
"Dodge County, Nebraska","37,167"
"Douglas County, Nebraska","584,526"
"Dundy County, Nebraska","1,654"
"Fillmore County, Nebraska","5,551"
"Franklin County, Nebraska","2,889"
"Frontier County, Nebraska","2,519"
"Furnas County, Nebraska","4,636"
"Gage County, Nebraska","21,704"
"Garden County, Nebraska","1,874"
"Garfield County, Nebraska","1,813"
"Gosper County, Nebraska","1,893"
"Grant County, Nebraska",611
"Greeley County, Nebraska","2,188"
"Hall County, Nebraska","62,895"
"Hamilton County, Nebraska","9,429"
"Harlan County, Nebraska","3,073"
"Hayes County, Nebraska",856
"Hitchcock County, Nebraska","2,616"
"Holt County, Nebraska","10,127"
"Hooker County, Nebraska",711
"Howard County, Nebraska","6,475"
"Jefferson County, Nebraska","7,240"
"Johnson County, Nebraska","5,290"
"Kearney County, Nebraska","6,688"
"Keith County, Nebraska","8,335"
"Keya Paha County, Nebraska",769
"Kimball County, Nebraska","3,434"
"Knox County, Nebraska","8,391"
"Lancaster County, Nebraska","322,608"
"Lincoln County, Nebraska","34,676"
"Logan County, Nebraska",716
"Loup County, Nebraska",607
"McPherson County, Nebraska",399
"Madison County, Nebraska","35,585"
"Merrick County, Nebraska","7,668"
"Morrill County, Nebraska","4,555"
"Nance County, Nebraska","3,380"
"Nemaha County, Nebraska","7,074"
"Nuckolls County, Nebraska","4,095"
"Otoe County, Nebraska","15,912"
"Pawnee County, Nebraska","2,544"
"Perkins County, Nebraska","2,858"
"Phelps County, Nebraska","8,968"
"Pierce County, Nebraska","7,317"
"Platte County, Nebraska","34,296"
"Polk County, Nebraska","5,214"
"Red Willow County, Nebraska","10,702"
"Richardson County, Nebraska","7,871"
"Rock County, Nebraska","1,262"
"Saline County, Nebraska","14,292"
"Sarpy County, Nebraska","190,604"
"Saunders County, Nebraska","22,278"
"Scotts Bluff County, Nebraska","36,084"
"Seward County, Nebraska","17,609"
"Sheridan County, Nebraska","5,127"
"Sherman County, Nebraska","2,959"
"Sioux County, Nebraska","1,135"
"Stanton County, Nebraska","5,842"
"Thayer County, Nebraska","5,034"
"Thomas County, Nebraska",669
"Thurston County, Nebraska","6,773"
"Valley County, Nebraska","4,059"
"Washington County, Nebraska","20,865"
"Wayne County, Nebraska","9,697"
"Webster County, Nebraska","3,395"
"Wheeler County, Nebraska",774
"York County, Nebraska","14,125"
"Churchill County, Nevada","25,516"
"Clark County, Nevada","2,265,461"
"Douglas County, Nevada","49,488"
"Elko County, Nevada","53,702"
"Esmeralda County, Nevada",729
"Eureka County, Nevada","1,855"
"Humboldt County, Nevada","17,285"
"Lander County, Nevada","5,734"
"Lincoln County, Nevada","4,499"
"Lyon County, Nevada","59,235"
"Mineral County, Nevada","4,554"
"Nye County, Nevada","51,591"
"Pershing County, Nevada","6,650"
"Storey County, Nevada","4,104"
"Washoe County, Nevada","486,492"
"White Pine County, Nevada","9,080"
"Carson City, Nevada","58,639"
"Belknap County, New Hampshire","63,705"
"Carroll County, New Hampshire","50,107"
"Cheshire County, New Hampshire","76,458"
"Coos County, New Hampshire","31,268"
"Grafton County, New Hampshire","91,118"
"Hillsborough County, New Hampshire","422,937"
"Merrimack County, New Hampshire","153,808"
"Rockingham County, New Hampshire","314,176"
"Strafford County, New Hampshire","130,889"
"Sullivan County, New Hampshire","43,063"
"Atlantic County, New Jersey","274,534"
"Bergen County, New Jersey","955,732"
"Burlington County, New Jersey","461,860"
"Camden County, New Jersey","523,485"
"Cape May County, New Jersey","95,263"
"Cumberland County, New Jersey","154,152"
"Essex County, New Jersey","863,728"
"Gloucester County, New Jersey","302,294"
"Hudson County, New Jersey","724,854"
"Hunterdon County, New Jersey","128,947"
"Mercer County, New Jersey","387,340"
"Middlesex County, New Jersey","863,162"
"Monmouth County, New Jersey","643,615"
"Morris County, New Jersey","509,285"
"Ocean County, New Jersey","637,229"
"Passaic County, New Jersey","524,118"
"Salem County, New Jersey","64,837"
"Somerset County, New Jersey","345,361"
"Sussex County, New Jersey","144,221"
"Union County, New Jersey","575,345"
"Warren County, New Jersey","109,632"
"Bernalillo County, New Mexico","676,444"
"Catron County, New Mexico","3,579"
"Chaves County, New Mexico","65,157"
"Cibola County, New Mexico","27,172"
"Colfax County, New Mexico","12,387"
"Curry County, New Mexico","48,430"
"De Baca County, New Mexico","1,698"
"Doña Ana County, New Mexico","219,561"
"Eddy County, New Mexico","62,314"
"Grant County, New Mexico","28,185"
"Guadalupe County, New Mexico","4,452"
"Harding County, New Mexico",657
"Hidalgo County, New Mexico","4,178"
"Lea County, New Mexico","74,455"
"Lincoln County, New Mexico","20,269"
"Los Alamos County, New Mexico","19,419"
"Luna County, New Mexico","25,427"
"McKinley County, New Mexico","72,902"
"Mora County, New Mexico","4,189"
"Otero County, New Mexico","67,839"
"Quay County, New Mexico","8,746"
"Rio Arriba County, New Mexico","40,363"
"Roosevelt County, New Mexico","19,191"
"Sandoval County, New Mexico","148,834"
"San Juan County, New Mexico","121,661"
"San Miguel County, New Mexico","27,201"
"Santa Fe County, New Mexico","154,823"
"Sierra County, New Mexico","11,576"
"Socorro County, New Mexico","16,595"
"Taos County, New Mexico","34,489"
"Torrance County, New Mexico","15,045"
"Union County, New Mexico","4,079"
"Valencia County, New Mexico","76,205"
"Albany County, New York","314,848"
"Allegany County, New York","46,456"
"Bronx County, New York","1,472,654"
"Broome County, New York","198,683"
"Cattaraugus County, New York","77,042"
"Cayuga County, New York","76,248"
"Chautauqua County, New York","127,657"
"Chemung County, New York","84,148"
"Chenango County, New York","47,220"
"Clinton County, New York","79,843"
"Columbia County, New York","61,570"
"Cortland County, New York","46,809"
"Delaware County, New York","44,308"
"Dutchess County, New York","295,911"
"Erie County, New York","954,236"
"Essex County, New York","37,381"
"Franklin County, New York","47,555"
"Fulton County, New York","53,324"
"Genesee County, New York","58,388"
"Greene County, New York","47,931"
"Hamilton County, New York","5,107"
"Herkimer County, New York","60,139"
"Jefferson County, New York","116,721"
"Kings County, New York","2,736,074"
"Lewis County, New York","26,582"
"Livingston County, New York","61,834"
"Madison County, New York","68,016"
"Monroe County, New York","759,443"
"Montgomery County, New York","49,532"
"Nassau County, New York","1,395,774"
"New York County, New York","1,694,251"
"Niagara County, New York","212,666"
"Oneida County, New York","232,125"
"Onondaga County, New York","476,516"
"Ontario County, New York","112,458"
"Orange County, New York","401,310"
"Orleans County, New York","40,343"
"Oswego County, New York","117,525"
"Otsego County, New York","58,524"
"Putnam County, New York","97,668"
"Queens County, New York","2,405,464"
"Rensselaer County, New York","161,130"
"Richmond County, New York","495,747"
"Rockland County, New York","338,329"
"St Lawrence County, New York","108,505"
"Saratoga County, New York","235,509"
"Schenectady County, New York","158,061"
"Schoharie County, New York","29,714"
"Schuyler County, New York","17,898"
"Seneca County, New York","33,814"
"Steuben County, New York","93,584"
"Suffolk County, New York","1,525,920"
"Sullivan County, New York","78,624"
"Tioga County, New York","48,455"
"Tompkins County, New York","105,740"
"Ulster County, New York","181,851"
"Warren County, New York","65,737"
"Washington County, New York","61,302"
"Wayne County, New York","91,283"
"Westchester County, New York","1,004,457"
"Wyoming County, New York","40,531"
"Yates County, New York","24,774"
"Alamance County, North Carolina","171,415"
"Alexander County, North Carolina","36,444"
"Alleghany County, North Carolina","10,888"
"Anson County, North Carolina","22,055"
"Ashe County, North Carolina","26,577"
"Avery County, North Carolina","17,806"
"Beaufort County, North Carolina","44,652"
"Bertie County, North Carolina","17,934"
"Bladen County, North Carolina","29,606"
"Brunswick County, North Carolina","136,693"
"Buncombe County, North Carolina","269,452"
"Burke County, North Carolina","87,570"
"Cabarrus County, North Carolina","225,804"
"Caldwell County, North Carolina","80,652"
"Camden County, North Carolina","10,355"
"Carteret County, North Carolina","67,686"
"Caswell County, North Carolina","22,736"
"Catawba County, North Carolina","160,610"
"Chatham County, North Carolina","76,285"
"Cherokee County, North Carolina","28,774"
"Chowan County, North Carolina","13,708"
"Clay County, North Carolina","11,089"
"Cleveland County, North Carolina","99,519"
"Columbus County, North Carolina","50,623"
"Craven County, North Carolina","100,720"
"Cumberland County, North Carolina","334,728"
"Currituck County, North Carolina","28,100"
"Dare County, North Carolina","36,915"
"Davidson County, North Carolina","168,930"
"Davie County, North Carolina","42,712"
"Duplin County, North Carolina","48,715"
"Durham County, North Carolina","324,833"
"Edgecombe County, North Carolina","48,900"
"Forsyth County, North Carolina","382,590"
"Franklin County, North Carolina","68,573"
"Gaston County, North Carolina","227,943"
"Gates County, North Carolina","10,478"
"Graham County, North Carolina","8,030"
"Granville County, North Carolina","60,992"
"Greene County, North Carolina","20,451"
"Guilford County, North Carolina","541,299"
"Halifax County, North Carolina","48,622"
"Harnett County, North Carolina","133,568"
"Haywood County, North Carolina","62,089"
"Henderson County, North Carolina","116,281"
"Hertford County, North Carolina","21,552"
"Hoke County, North Carolina","52,082"
"Hyde County, North Carolina","4,589"
"Iredell County, North Carolina","186,693"
"Jackson County, North Carolina","43,109"
"Johnston County, North Carolina","215,999"
"Jones County, North Carolina","9,172"
"Lee County, North Carolina","63,285"
"Lenoir County, North Carolina","55,122"
"Lincoln County, North Carolina","86,810"
"McDowell County, North Carolina","44,578"
"Macon County, North Carolina","37,014"
"Madison County, North Carolina","21,193"
"Martin County, North Carolina","22,031"
"Mecklenburg County, North Carolina","1,115,482"
"Mitchell County, North Carolina","14,903"
"Montgomery County, North Carolina","25,751"
"Moore County, North Carolina","99,727"
"Nash County, North Carolina","94,970"
"New Hanover County, North Carolina","225,702"
"Northampton County, North Carolina","17,471"
"Onslow County, North Carolina","204,576"
"Orange County, North Carolina","148,696"
"Pamlico County, North Carolina","12,276"
"Pasquotank County, North Carolina","40,568"
"Pender County, North Carolina","60,203"
"Perquimans County, North Carolina","13,005"
"Person County, North Carolina","39,097"
"Pitt County, North Carolina","170,243"
"Polk County, North Carolina","19,328"
"Randolph County, North Carolina","144,171"
"Richmond County, North Carolina","42,946"
"Robeson County, North Carolina","116,530"
"Rockingham County, North Carolina","91,096"
"Rowan County, North Carolina","146,875"
"Rutherford County, North Carolina","64,444"
"Sampson County, North Carolina","59,036"
"Scotland County, North Carolina","34,174"
"Stanly County, North Carolina","62,504"
"Stokes County, North Carolina","44,520"
"Surry County, North Carolina","71,359"
"Swain County, North Carolina","14,117"
"Transylvania County, North Carolina","32,986"
"Tyrrell County, North Carolina","3,245"
"Union County, North Carolina","238,267"
"Vance County, North Carolina","42,578"
"Wake County, North Carolina","1,129,410"
"Warren County, North Carolina","18,642"
"Washington County, North Carolina","11,003"
"Watauga County, North Carolina","54,086"
"Wayne County, North Carolina","117,333"
"Wilkes County, North Carolina","65,969"
"Wilson County, North Carolina","78,784"
"Yadkin County, North Carolina","37,214"
"Yancey County, North Carolina","18,470"
"Adams County, North Dakota","2,200"
"Barnes County, North Dakota","10,853"
"Benson County, North Dakota","5,964"
"Billings County, North Dakota",945
"Bottineau County, North Dakota","6,379"
"Bowman County, North Dakota","2,993"
"Burke County, North Dakota","2,201"
"Burleigh County, North Dakota","98,458"
"Cass County, North Dakota","184,525"
"Cavalier County, North Dakota","3,704"
"Dickey County, North Dakota","4,999"
"Divide County, North Dakota","2,195"
"Dunn County, North Dakota","4,095"
"Eddy County, North Dakota","2,347"
"Emmons County, North Dakota","3,301"
"Foster County, North Dakota","3,397"
"Golden Valley County, North Dakota","1,736"
"Grand Forks County, North Dakota","73,170"
"Grant County, North Dakota","2,301"
"Griggs County, North Dakota","2,306"
"Hettinger County, North Dakota","2,489"
"Kidder County, North Dakota","2,394"
"LaMoure County, North Dakota","4,093"
"Logan County, North Dakota","1,876"
"McHenry County, North Dakota","5,345"
"McIntosh County, North Dakota","2,530"
"McKenzie County, North Dakota","14,704"
"McLean County, North Dakota","9,771"
"Mercer County, North Dakota","8,350"
"Morton County, North Dakota","33,291"
"Mountrail County, North Dakota","9,809"
"Nelson County, North Dakota","3,015"
"Oliver County, North Dakota","1,877"
"Pembina County, North Dakota","6,844"
"Pierce County, North Dakota","3,990"
"Ramsey County, North Dakota","11,605"
"Ransom County, North Dakota","5,703"
"Renville County, North Dakota","2,282"
"Richland County, North Dakota","16,529"
"Rolette County, North Dakota","12,187"
"Sargent County, North Dakota","3,862"
"Sheridan County, North Dakota","1,265"
"Sioux County, North Dakota","3,898"
"Slope County, North Dakota",706
"Stark County, North Dakota","33,646"
"Steele County, North Dakota","1,798"
"Stutsman County, North Dakota","21,593"
"Towner County, North Dakota","2,162"
"Traill County, North Dakota","7,997"
"Walsh County, North Dakota","10,563"
"Ward County, North Dakota","69,919"
"Wells County, North Dakota","3,982"
"Williams County, North Dakota","40,950"
"Adams County, Ohio","27,477"
"Allen County, Ohio","102,206"
"Ashland County, Ohio","52,447"
"Ashtabula County, Ohio","97,574"
"Athens County, Ohio","62,431"
"Auglaize County, Ohio","46,422"
"Belmont County, Ohio","66,497"
"Brown County, Ohio","43,676"
"Butler County, Ohio","390,357"
"Carroll County, Ohio","26,721"
"Champaign County, Ohio","38,714"
"Clark County, Ohio","136,001"
"Clermont County, Ohio","208,601"
"Clinton County, Ohio","42,018"
"Columbiana County, Ohio","101,877"
"Coshocton County, Ohio","36,612"
"Crawford County, Ohio","42,025"
"Cuyahoga County, Ohio","1,264,817"
"Darke County, Ohio","51,881"
"Defiance County, Ohio","38,286"
"Delaware County, Ohio","214,124"
"Erie County, Ohio","75,622"
"Fairfield County, Ohio","158,921"
"Fayette County, Ohio","28,951"
"Franklin County, Ohio","1,323,807"
"Fulton County, Ohio","42,713"
"Gallia County, Ohio","29,220"
"Geauga County, Ohio","95,397"
"Greene County, Ohio","167,966"
"Guernsey County, Ohio","38,438"
"Hamilton County, Ohio","830,639"
"Hancock County, Ohio","74,920"
"Hardin County, Ohio","30,696"
"Harrison County, Ohio","14,483"
"Henry County, Ohio","27,662"
"Highland County, Ohio","43,317"
"Hocking County, Ohio","28,050"
"Holmes County, Ohio","44,223"
"Huron County, Ohio","58,565"
"Jackson County, Ohio","32,653"
"Jefferson County, Ohio","65,249"
"Knox County, Ohio","62,721"
"Lake County, Ohio","232,603"
"Lawrence County, Ohio","58,240"
"Licking County, Ohio","178,519"
"Logan County, Ohio","46,150"
"Lorain County, Ohio","312,964"
"Lucas County, Ohio","431,279"
"Madison County, Ohio","43,824"
"Mahoning County, Ohio","228,614"
"Marion County, Ohio","65,359"
"Medina County, Ohio","182,470"
"Meigs County, Ohio","22,210"
"Mercer County, Ohio","42,528"
"Miami County, Ohio","108,774"
"Monroe County, Ohio","13,385"
"Montgomery County, Ohio","537,309"
"Morgan County, Ohio","13,802"
"Morrow County, Ohio","34,950"
"Muskingum County, Ohio","86,410"
"Noble County, Ohio","14,115"
"Ottawa County, Ohio","40,364"
"Paulding County, Ohio","18,806"
"Perry County, Ohio","35,408"
"Pickaway County, Ohio","58,539"
"Pike County, Ohio","27,088"
"Portage County, Ohio","161,791"
"Preble County, Ohio","40,999"
"Putnam County, Ohio","34,451"
"Richland County, Ohio","124,936"
"Ross County, Ohio","77,093"
"Sandusky County, Ohio","58,896"
"Scioto County, Ohio","74,008"
"Seneca County, Ohio","55,069"
"Shelby County, Ohio","48,230"
"Stark County, Ohio","374,853"
"Summit County, Ohio","540,428"
"Trumbull County, Ohio","201,977"
"Tuscarawas County, Ohio","93,263"
"Union County, Ohio","62,784"
"Van Wert County, Ohio","28,931"
"Vinton County, Ohio","12,800"
"Warren County, Ohio","242,337"
"Washington County, Ohio","59,771"
"Wayne County, Ohio","116,894"
"Williams County, Ohio","37,102"
"Wood County, Ohio","132,248"
"Wyandot County, Ohio","21,900"
"Adair County, Oklahoma","19,495"
"Alfalfa County, Oklahoma","5,699"
"Atoka County, Oklahoma","14,143"
"Beaver County, Oklahoma","5,049"
"Beckham County, Oklahoma","22,410"
"Blaine County, Oklahoma","8,735"
"Bryan County, Oklahoma","46,067"
"Caddo County, Oklahoma","26,945"
"Canadian County, Oklahoma","154,405"
"Carter County, Oklahoma","48,003"
"Cherokee County, Oklahoma","47,078"
"Choctaw County, Oklahoma","14,204"
"Cimarron County, Oklahoma","2,296"
"Cleveland County, Oklahoma","295,528"
"Coal County, Oklahoma","5,266"
"Comanche County, Oklahoma","121,125"
"Cotton County, Oklahoma","5,527"
"Craig County, Oklahoma","14,107"
"Creek County, Oklahoma","71,754"
"Custer County, Oklahoma","28,513"
"Delaware County, Oklahoma","40,397"
"Dewey County, Oklahoma","4,484"
"Ellis County, Oklahoma","3,749"
"Garfield County, Oklahoma","62,846"
"Garvin County, Oklahoma","25,656"
"Grady County, Oklahoma","54,795"
"Grant County, Oklahoma","4,169"
"Greer County, Oklahoma","5,491"
"Harmon County, Oklahoma","2,488"
"Harper County, Oklahoma","3,272"
"Haskell County, Oklahoma","11,561"
"Hughes County, Oklahoma","13,367"
"Jackson County, Oklahoma","24,785"
"Jefferson County, Oklahoma","5,337"
"Johnston County, Oklahoma","10,272"
"Kay County, Oklahoma","43,700"
"Kingfisher County, Oklahoma","15,184"
"Kiowa County, Oklahoma","8,509"
"Latimer County, Oklahoma","9,444"
"Le Flore County, Oklahoma","48,129"
"Lincoln County, Oklahoma","33,458"
"Logan County, Oklahoma","49,555"
"Love County, Oklahoma","10,146"
"McClain County, Oklahoma","41,662"
"McCurtain County, Oklahoma","30,814"
"McIntosh County, Oklahoma","18,941"
"Major County, Oklahoma","7,782"
"Marshall County, Oklahoma","15,312"
"Mayes County, Oklahoma","39,046"
"Murray County, Oklahoma","13,904"
"Muskogee County, Oklahoma","66,339"
"Noble County, Oklahoma","10,924"
"Nowata County, Oklahoma","9,320"
"Okfuskee County, Oklahoma","11,310"
"Oklahoma County, Oklahoma","796,292"
"Okmulgee County, Oklahoma","36,706"
"Osage County, Oklahoma","45,818"
"Ottawa County, Oklahoma","30,285"
"Pawnee County, Oklahoma","15,553"
"Payne County, Oklahoma","81,646"
"Pittsburg County, Oklahoma","43,773"
"Pontotoc County, Oklahoma","38,065"
"Pottawatomie County, Oklahoma","72,454"
"Pushmataha County, Oklahoma","10,812"
"Roger Mills County, Oklahoma","3,442"
"Rogers County, Oklahoma","95,240"
"Seminole County, Oklahoma","23,556"
"Sequoyah County, Oklahoma","39,281"
"Stephens County, Oklahoma","42,848"
"Texas County, Oklahoma","21,384"
"Tillman County, Oklahoma","6,968"
"Tulsa County, Oklahoma","669,279"
"Wagoner County, Oklahoma","80,981"
"Washington County, Oklahoma","52,455"
"Washita County, Oklahoma","10,924"
"Woods County, Oklahoma","8,624"
"Woodward County, Oklahoma","20,470"
"Baker County, Oregon","16,668"
"Benton County, Oregon","95,184"
"Clackamas County, Oregon","421,401"
"Clatsop County, Oregon","41,072"
"Columbia County, Oregon","52,589"
"Coos County, Oregon","64,929"
"Crook County, Oregon","24,738"
"Curry County, Oregon","23,446"
"Deschutes County, Oregon","198,253"
"Douglas County, Oregon","111,201"
"Gilliam County, Oregon","1,995"
"Grant County, Oregon","7,233"
"Harney County, Oregon","7,495"
"Hood River County, Oregon","23,977"
"Jackson County, Oregon","223,259"
"Jefferson County, Oregon","24,502"
"Josephine County, Oregon","88,090"
"Klamath County, Oregon","69,413"
"Lake County, Oregon","8,160"
"Lane County, Oregon","382,971"
"Lincoln County, Oregon","50,395"
"Linn County, Oregon","128,610"
"Malheur County, Oregon","31,571"
"Marion County, Oregon","345,920"
"Morrow County, Oregon","12,186"
"Multnomah County, Oregon","815,428"
"Polk County, Oregon","87,433"
"Sherman County, Oregon","1,870"
"Tillamook County, Oregon","27,390"
"Umatilla County, Oregon","80,075"
"Union County, Oregon","26,196"
"Wallowa County, Oregon","7,391"
"Wasco County, Oregon","26,670"
"Washington County, Oregon","600,372"
"Wheeler County, Oregon","1,451"
"Yamhill County, Oregon","107,722"
"Adams County, Pennsylvania","103,852"
"Allegheny County, Pennsylvania","1,250,578"
"Armstrong County, Pennsylvania","65,558"
"Beaver County, Pennsylvania","168,215"
"Bedford County, Pennsylvania","47,577"
"Berks County, Pennsylvania","428,849"
"Blair County, Pennsylvania","122,822"
"Bradford County, Pennsylvania","59,967"
"Bucks County, Pennsylvania","646,538"
"Butler County, Pennsylvania","193,763"
"Cambria County, Pennsylvania","133,472"
"Cameron County, Pennsylvania","4,547"
"Carbon County, Pennsylvania","64,749"
"Centre County, Pennsylvania","158,172"
"Chester County, Pennsylvania","534,413"
"Clarion County, Pennsylvania","37,241"
"Clearfield County, Pennsylvania","80,562"
"Clinton County, Pennsylvania","37,450"
"Columbia County, Pennsylvania","64,727"
"Crawford County, Pennsylvania","83,938"
"Cumberland County, Pennsylvania","259,469"
"Dauphin County, Pennsylvania","286,401"
"Delaware County, Pennsylvania","576,830"
"Elk County, Pennsylvania","30,990"
"Erie County, Pennsylvania","270,876"
"Fayette County, Pennsylvania","128,804"
"Forest County, Pennsylvania","6,973"
"Franklin County, Pennsylvania","155,932"
"Fulton County, Pennsylvania","14,556"
"Greene County, Pennsylvania","35,954"
"Huntingdon County, Pennsylvania","44,092"
"Indiana County, Pennsylvania","83,246"
"Jefferson County, Pennsylvania","44,492"
"Juniata County, Pennsylvania","23,509"
"Lackawanna County, Pennsylvania","215,896"
"Lancaster County, Pennsylvania","552,984"
"Lawrence County, Pennsylvania","86,070"
"Lebanon County, Pennsylvania","143,257"
"Lehigh County, Pennsylvania","374,557"
"Luzerne County, Pennsylvania","325,594"
"Lycoming County, Pennsylvania","114,188"
"McKean County, Pennsylvania","40,432"
"Mercer County, Pennsylvania","110,652"
"Mifflin County, Pennsylvania","46,143"
"Monroe County, Pennsylvania","168,327"
"Montgomery County, Pennsylvania","856,553"
"Montour County, Pennsylvania","18,136"
"Northampton County, Pennsylvania","312,951"
"Northumberland County, Pennsylvania","91,647"
"Perry County, Pennsylvania","45,842"
"Philadelphia County, Pennsylvania","1,603,797"
"Pike County, Pennsylvania","58,535"
"Potter County, Pennsylvania","16,396"
"Schuylkill County, Pennsylvania","143,049"
"Snyder County, Pennsylvania","39,736"
"Somerset County, Pennsylvania","74,129"
"Sullivan County, Pennsylvania","5,840"
"Susquehanna County, Pennsylvania","38,434"
"Tioga County, Pennsylvania","41,045"
"Union County, Pennsylvania","42,681"
"Venango County, Pennsylvania","50,454"
"Warren County, Pennsylvania","38,587"
"Washington County, Pennsylvania","209,349"
"Wayne County, Pennsylvania","51,155"
"Westmoreland County, Pennsylvania","354,663"
"Wyoming County, Pennsylvania","26,069"
"York County, Pennsylvania","456,438"
"Bristol County, Rhode Island","50,793"
"Kent County, Rhode Island","170,363"
"Newport County, Rhode Island","85,643"
"Providence County, Rhode Island","660,741"
"Washington County, Rhode Island","129,839"
"Abbeville County, South Carolina","24,295"
"Aiken County, South Carolina","168,808"
"Allendale County, South Carolina","8,039"
"Anderson County, South Carolina","203,718"
"Bamberg County, South Carolina","13,311"
"Barnwell County, South Carolina","20,589"
"Beaufort County, South Carolina","187,117"
"Berkeley County, South Carolina","229,861"
"Calhoun County, South Carolina","14,119"
"Charleston County, South Carolina","408,235"
"Cherokee County, South Carolina","56,216"
"Chester County, South Carolina","32,294"
"Chesterfield County, South Carolina","43,273"
"Clarendon County, South Carolina","31,144"
"Colleton County, South Carolina","38,604"
"Darlington County, South Carolina","62,905"
"Dillon County, South Carolina","28,292"
"Dorchester County, South Carolina","161,540"
"Edgefield County, South Carolina","25,657"
"Fairfield County, South Carolina","20,948"
"Florence County, South Carolina","137,059"
"Georgetown County, South Carolina","63,404"
"Greenville County, South Carolina","525,534"
"Greenwood County, South Carolina","69,351"
"Hampton County, South Carolina","18,561"
"Horry County, South Carolina","351,029"
"Jasper County, South Carolina","28,791"
"Kershaw County, South Carolina","65,403"
"Lancaster County, South Carolina","96,016"
"Laurens County, South Carolina","67,539"
"Lee County, South Carolina","16,531"
"Lexington County, South Carolina","293,991"
"McCormick County, South Carolina","9,526"
"Marion County, South Carolina","29,183"
"Marlboro County, South Carolina","26,667"
"Newberry County, South Carolina","37,719"
"Oconee County, South Carolina","78,607"
"Orangeburg County, South Carolina","84,223"
"Pickens County, South Carolina","131,404"
"Richland County, South Carolina","416,147"
"Saluda County, South Carolina","18,862"
"Spartanburg County, South Carolina","327,997"
"Sumter County, South Carolina","105,556"
"Union County, South Carolina","27,244"
"Williamsburg County, South Carolina","31,026"
"York County, South Carolina","282,090"
"Aurora County, South Dakota","2,747"
"Beadle County, South Dakota","19,149"
"Bennett County, South Dakota","3,381"
"Bon Homme County, South Dakota","7,003"
"Brookings County, South Dakota","34,375"
"Brown County, South Dakota","38,301"
"Brule County, South Dakota","5,247"
"Buffalo County, South Dakota","1,948"
"Butte County, South Dakota","10,243"
"Campbell County, South Dakota","1,377"
"Charles Mix County, South Dakota","9,373"
"Clark County, South Dakota","3,837"
"Clay County, South Dakota","14,967"
"Codington County, South Dakota","28,325"
"Corson County, South Dakota","3,902"
"Custer County, South Dakota","8,318"
"Davison County, South Dakota","19,956"
"Day County, South Dakota","5,449"
"Deuel County, South Dakota","4,295"
"Dewey County, South Dakota","5,239"
"Douglas County, South Dakota","2,835"
"Edmunds County, South Dakota","3,986"
"Fall River County, South Dakota","6,973"
"Faulk County, South Dakota","2,125"
"Grant County, South Dakota","7,556"
"Gregory County, South Dakota","3,994"
"Haakon County, South Dakota","1,872"
"Hamlin County, South Dakota","6,164"
"Hand County, South Dakota","3,145"
"Hanson County, South Dakota","3,461"
"Harding County, South Dakota","1,311"
"Hughes County, South Dakota","17,765"
